region_name,commune_name,year,victims,rate_100k,population
Arica y Parinacota,Arica,2024,26,10.1,257163
Tarapacá,Alto Hospicio,2024,11,7.7,143294
Tarapacá,Colchane,2024,1,64.2,1558
Tarapacá,Iquique,2024,17,7.3,231962
Tarapacá,Pozo Almonte,2024,3,16.0,18713
Antofagasta,Antofagasta,2024,37,8.3,444276
Antofagasta,Calama,2024,10,5.1,196152
Antofagasta,Mejillones,2024,1,6.3,15877
Antofagasta,Tocopilla,2024,2,7.1,28354
Atacama,Caldera,2024,1,5.0,19964
Atacama,Chañaral,2024,3,23.0,13017
Atacama,Copiapó,2024,16,9.1,176100
Atacama,Huasco,2024,2,17.3,11590
Atacama,Tierra Amarilla,2024,3,20.8,14431
Atacama,Vallenar,2024,1,1.7,57360
Coquimbo,Combarbalá,2024,1,7.2,13855
Coquimbo,Coquimbo,2024,10,3.6,275644
Coquimbo,Illapel,2024,2,6.1,33021
Coquimbo,La Serena,2024,16,6.0,267400
Coquimbo,Los Vilos,2024,5,20.5,24408
Coquimbo,Monte Patria,2024,1,3.1,32672
Coquimbo,Ovalle,2024,8,6.4,124401
Coquimbo,Río Hurtado,2024,2,46.4,4308
Coquimbo,Salamanca,2024,2,6.7,29916
Valparaíso,Calera,2024,4,7.4,53902
Valparaíso,Cartagena,2024,7,25.9,27065
Valparaíso,Casablanca,2024,1,3.3,30543
Valparaíso,Catemu,2024,1,6.4,15714
Valparaíso,Concón,2024,1,2.1,48171
Valparaíso,El Quisco,2024,3,15.9,18840
Valparaíso,La Ligua,2024,1,2.6,38387
Valparaíso,Limache,2024,5,9.7,51697
Valparaíso,Llaillay,2024,1,3.7,27286
Valparaíso,Los Andes,2024,2,2.9,68939
Valparaíso,Olmué,2024,1,4.9,20247
Valparaíso,Puchuncaví,2024,1,4.7,21221
Valparaíso,Putaendo,2024,1,5.5,18023
Valparaíso,Quillota,2024,8,7.9,100972
Valparaíso,Quilpué,2024,8,4.6,173591
Valparaíso,San Antonio,2024,5,5.1,98579
Valparaíso,San Felipe,2024,8,9.2,86838
Valparaíso,Santa María,2024,1,5.9,16962
Valparaíso,Valparaíso,2024,37,11.5,320816
Valparaíso,Villa Alemana,2024,4,2.7,147418
Valparaíso,Viña del Mar,2024,34,9.2,371490
Metropolitana,Alhué,2024,2,25.5,7856
Metropolitana,Buin,2024,5,4.2,117982
Metropolitana,Cerrillos,2024,16,17.7,90182
Metropolitana,Cerro Navia,2024,13,9.3,139632
Metropolitana,Colina,2024,27,13.7,197370
Metropolitana,Conchalí,2024,7,5.1,136674
Metropolitana,Curacaví,2024,3,7.8,38367
Metropolitana,El Bosque,2024,12,7.1,169855
Metropolitana,El Monte,2024,4,9.5,42233
Metropolitana,Estación Central,2024,24,10.8,221901
Metropolitana,Huechuraba,2024,8,6.8,118327
