region_code,region_name,period,period_type,year,victims,rate_100k
15,Arica y Parinacota,2020,annual,2020,17,6.7
01,Tarapacá,2020,annual,2020,20,5.2
02,Antofagasta,2020,annual,2020,51,7.4
03,Atacama,2020,annual,2020,9,2.9
04,Coquimbo,2020,annual,2020,41,4.9
05,Valparaíso,2020,annual,2020,109,5.6
13,Metropolitana de Santiago,2020,annual,2020,576,7.1
06,Libertador General Bernardo O'Higgins,2020,annual,2020,51,5.1
07,Maule,2020,annual,2020,47,4.2
16,Ñuble,2020,annual,2020,14,2.7
08,Biobío,2020,annual,2020,83,5.0
09,La Araucanía,2020,annual,2020,37,3.6
14,Los Ríos,2020,annual,2020,18,4.4
10,Los Lagos,2020,annual,2020,33,3.7
11,Aysén del General Carlos Ibáñez del Campo,2020,annual,2020,7,6.5
12,Magallanes y de la Antártica Chilena,2020,annual,2020,2,1.1
15,Arica y Parinacota,2021,annual,2021,22,8.6
01,Tarapacá,2021,annual,2021,53,13.5
02,Antofagasta,2021,annual,2021,32,4.5
03,Atacama,2021,annual,2021,14,4.4
04,Coquimbo,2021,annual,2021,31,3.7
05,Valparaíso,2021,annual,2021,68,3.4
13,Metropolitana de Santiago,2021,annual,2021,404,4.9
06,Libertador General Bernardo O'Higgins,2021,annual,2021,46,4.6
07,Maule,2021,annual,2021,44,3.8
16,Ñuble,2021,annual,2021,19,3.7
08,Biobío,2021,annual,2021,80,4.8
09,La Araucanía,2021,annual,2021,33,3.2
14,Los Ríos,2021,annual,2021,17,4.2
10,Los Lagos,2021,annual,2021,34,3.8
11,Aysén del General Carlos Ibáñez del Campo,2021,annual,2021,4,3.7
12,Magallanes y de la Antártica Chilena,2021,annual,2021,5,2.8
15,Arica y Parinacota,2022,annual,2022,45,17.5
01,Tarapacá,2022,annual,2022,51,12.9
02,Antofagasta,2022,annual,2022,68,9.6
03,Atacama,2022,annual,2022,27,8.5
04,Coquimbo,2022,annual,2022,69,8.0
05,Valparaíso,2022,annual,2022,140,7.0
13,Metropolitana de Santiago,2022,annual,2022,554,6.7
06,Libertador General Bernardo O'Higgins,2022,annual,2022,44,4.4
07,Maule,2022,annual,2022,52,4.5
16,Ñuble,2022,annual,2022,23,4.4
08,Biobío,2022,annual,2022,125,7.5
09,La Araucanía,2022,annual,2022,49,4.8
14,Los Ríos,2022,annual,2022,31,7.6
10,Los Lagos,2022,annual,2022,45,5.0
11,Aysén del General Carlos Ibáñez del Campo,2022,annual,2022,3,2.8
12,Magallanes y de la Antártica Chilena,2022,annual,2022,4,2.2
15,Arica y Parinacota,2023,annual,2023,32,12.3
01,Tarapacá,2023,annual,2023,43,10.7
02,Antofagasta,2023,annual,2023,59,8.3
03,Atacama,2023,annual,2023,25,7.8
04,Coquimbo,2023,annual,2023,52,6.0
05,Valparaíso,2023,annual,2023,136,6.8
13,Metropolitana de Santiago,2023,annual,2023,558,6.7
06,Libertador General Bernardo O'Higgins,2023,annual,2023,48,4.7
07,Maule,2023,annual,2023,55,4.7
16,Ñuble,2023,annual,2023,14,2.7
08,Biobío,2023,annual,2023,112,6.7
09,La Araucanía,2023,annual,2023,42,4.1
14,Los Ríos,2023,annual,2023,18,4.4
10,Los Lagos,2023,annual,2023,41,4.5
11,Aysén del General Carlos Ibáñez del Campo,2023,annual,2023,5,4.6
12,Magallanes y de la Antártica Chilena,2023,annual,2023,9,4.9
15,Arica y Parinacota,2024,annual,2024,26,9.9
01,Tarapacá,2024,annual,2024,32,7.9
02,Antofagasta,2024,annual,2024,50,7.0
03,Atacama,2024,annual,2024,26,8.1
04,Coquimbo,2024,annual,2024,47,5.3
05,Valparaíso,2024,annual,2024,134,6.6
13,Metropolitana de Santiago,2024,annual,2024,552,6.6
06,Libertador General Bernardo O'Higgins,2024,annual,2024,56,5.5
07,Maule,2024,annual,2024,41,3.5
16,Ñuble,2024,annual,2024,20,3.8
